,% of FGA by Distance/0-3,% of FGA by Distance/10-16,% of FGA by Distance/16-3pt,% of FGA by Distance/2P,% of FGA by Distance/3-10,% of FGA by Distance/3P,Cornder/3P%,Corner/%3PA,Corner/3P%,Dunks/%FGA,Dunks/Md.,FG% by Distance/0-3,FG% by Distance/10-16,FG% by Distance/16-3pt,FG% by Distance/2P,FG% by Distance/3-10,FG% by Distance/3P,Heaves/Att.,Heaves/Md.,Unnamed: 0_level_1/Season,Unnamed: 1_level_1/Age,Unnamed: 21_level_1/%Ast'd,Unnamed: 24_level_1/%Ast'd,Unnamed: 24_level_1/Ast'd,Unnamed: 2_level_1/Tm,Unnamed: 3_level_1/Lg,Unnamed: 4_level_1/Pos,Unnamed: 5_level_1/G,Unnamed: 6_level_1/MP,Unnamed: 7_level_1/FG%,Unnamed: 8_level_1/Dist.
10325,0.41200000000000003,0.043,0.11599999999999999,0.741,0.171,0.259,,0.247,0.47600000000000003,0.024,8.0,0.607,0.214,0.237,0.44,0.23199999999999998,0.32899999999999996,0.0,0.0,2002-03,29.0,0.514,0.893,,GSW,NBA,SG,55.0,1130.0,0.41200000000000003,10.3
10326,0.515,0.08199999999999999,0.155,0.8370000000000001,0.085,0.163,,0.36700000000000005,0.24100000000000002,0.016,8.0,0.504,0.25,0.45299999999999996,0.446,0.268,0.266,1.0,0.0,2003-04,30.0,0.436,0.857,,TOT,NBA,SG,80.0,1663.0,0.41600000000000004,8.8
10327,0.486,0.11599999999999999,0.11599999999999999,0.792,0.075,0.20800000000000002,,0.33299999999999996,0.16699999999999998,0.028999999999999998,5.0,0.5479999999999999,0.2,0.35,0.45299999999999996,0.385,0.25,1.0,0.0,2003-04,30.0,0.46799999999999997,0.889,,DET,NBA,SG,53.0,707.0,0.41,9.8
10328,0.532,0.064,0.17600000000000002,0.862,0.09,0.138,,0.395,0.294,0.01,3.0,0.48200000000000004,0.3,0.491,0.442,0.214,0.27899999999999997,0.0,0.0,2003-04,30.0,0.42,0.833,,ATL,NBA,SG,27.0,956.0,0.42,8.3
10329,0.35700000000000004,0.073,0.17300000000000001,0.6920000000000001,0.08900000000000001,0.308,,0.316,0.36700000000000005,0.004,2.0,0.556,0.297,0.414,0.45799999999999996,0.289,0.355,0.0,0.0,2004-05,31.0,0.406,0.945,,HOU,NBA,PG,61.0,1922.0,0.42700000000000005,12.5
10330,0.5,0.033,0.1,0.867,0.233,0.133,,0.125,0.0,0.05,2.0,0.5329999999999999,0.5,0.16699999999999998,0.442,0.35700000000000004,0.125,0.0,0.0,2017-18,20.0,0.696,1.0,,POR,NBA,PF,27.0,189.0,0.4,7.5
10331,0.358,0.113,0.094,0.868,0.302,0.132,,0.5710000000000001,0.25,0.057,3.0,0.579,0.16699999999999998,0.0,0.37,0.313,0.14300000000000002,0.0,0.0,2018-19,21.0,0.47100000000000003,1.0,,TOT,NBA,PF,21.0,178.0,0.34,9.0
10332,0.409,0.091,0.091,0.8859999999999999,0.295,0.114,,0.6,0.33299999999999996,0.068,3.0,0.556,0.25,0.0,0.33299999999999996,0.154,0.2,0.0,0.0,2018-19,21.0,0.462,1.0,,POR,NBA,PF,18.0,145.0,0.318,8.1
10333,0.111,0.222,0.111,0.778,0.33299999999999996,0.222,,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.5710000000000001,1.0,0.0,0.0,0.0,2018-19,21.0,0.5,,,SAC,NBA,PF,3.0,33.0,0.444,13.3
10334,0.617,0.106,0.043,0.9570000000000001,0.191,0.043,,0.5,0.0,0.021,1.0,0.7240000000000001,0.4,0.5,0.622,0.444,0.0,0.0,0.0,2019-20,22.0,0.75,,,TOT,NBA,PF,27.0,288.0,0.596,5.3
10335,0.5,0.0,0.25,1.0,0.25,0.0,,,,0.0,0.0,0.5,,0.0,0.5,1.0,,0.0,0.0,2019-20,22.0,1.0,,,SAC,NBA,PF,7.0,23.0,0.5,6.5
10336,0.628,0.11599999999999999,0.023,0.953,0.18600000000000003,0.047,,0.5,0.0,0.023,1.0,0.741,0.4,1.0,0.634,0.375,0.0,0.0,0.0,2019-20,22.0,0.731,,,POR,NBA,PF,20.0,265.0,0.605,5.2
10337,0.507,0.121,0.1,0.993,0.264,0.006999999999999999,,0.0,,0.079,10.0,0.6759999999999999,0.41200000000000003,0.28600000000000003,0.496,0.27,0.0,1.0,0.0,2003-04,21.0,0.536,,,NYK,NBA,PF,42.0,494.0,0.493,5.6
10338,0.621,0.10099999999999999,0.076,0.998,0.2,0.002,,0.0,,0.067,29.0,0.65,0.35600000000000004,0.294,0.5329999999999999,0.348,0.0,0.0,0.0,2004-05,22.0,0.586,,,NYK,NBA,C,77.0,1509.0,0.531,4.2
10339,0.489,0.126,0.115,1.0,0.27,0.0,,,,0.032,12.0,0.535,0.321,0.314,0.45,0.41700000000000004,,0.0,0.0,2005-06,23.0,0.605,,,CHI,NBA,C,66.0,1222.0,0.45,5.6
10340,0.612,0.075,0.022000000000000002,1.0,0.29100000000000004,0.0,,,,0.06,7.0,0.573,0.5,0.33299999999999996,0.433,0.128,,0.0,0.0,2006-07,24.0,0.603,,,CHI,NBA,C,48.0,385.0,0.433,3.2
10341,0.091,0.364,0.0,1.0,0.545,0.0,,,,0.0,0.0,1.0,0.5,,0.455,0.33299999999999996,,0.0,0.0,2004-05,19.0,1.0,,,SEA,NBA,C,16.0,72.0,0.455,8.2
10342,0.544,0.10800000000000001,0.017,1.0,0.332,0.0,,,,0.183,40.0,0.58,0.5379999999999999,0.25,0.515,0.413,,0.0,0.0,2005-06,20.0,0.669,,,SEA,NBA,C,47.0,987.0,0.515,3.7
10343,0.529,0.294,0.0,1.0,0.17600000000000002,0.0,,,,0.0,0.0,0.33299999999999996,0.6,,0.353,0.0,,0.0,0.0,2007-08,22.0,0.667,,,SEA,NBA,C,8.0,98.0,0.353,4.7
10344,0.43700000000000006,0.225,0.042,1.0,0.29600000000000004,0.0,,,,0.113,7.0,0.645,0.5,0.0,0.521,0.429,,0.0,0.0,2008-09,23.0,0.757,,,OKC,NBA,C,26.0,343.0,0.521,5.7
10345,0.44,0.139,0.094,0.988,0.316,0.012,,0.0,,0.198,57.0,0.631,0.27699999999999997,0.313,0.457,0.336,0.0,0.0,0.0,2000-01,21.0,0.732,,,VAN,NBA,PF,80.0,1312.0,0.451,6.1
10346,0.489,0.131,0.10099999999999999,0.995,0.273,0.005,,0.0,,0.21600000000000003,112.0,0.639,0.363,0.306,0.48200000000000004,0.32299999999999995,0.0,0.0,0.0,2001-02,22.0,0.662,,,MEM,NBA,PF,68.0,1805.0,0.48,5.4
10347,0.5579999999999999,0.11,0.086,0.996,0.24100000000000002,0.004,,0.5,0.0,0.213,91.0,0.597,0.259,0.33299999999999996,0.483,0.373,0.0,0.0,0.0,2002-03,23.0,0.604,,,MEM,NBA,PF,67.0,1478.0,0.48100000000000004,4.8
10348,0.433,0.1,0.221,0.993,0.24,0.006999999999999999,,0.25,1.0,0.165,78.0,0.534,0.24600000000000002,0.47600000000000003,0.47100000000000003,0.445,0.25,1.0,0.0,2003-04,24.0,0.6970000000000001,1.0,,MEM,NBA,PF,77.0,1528.0,0.469,7.2
10349,0.469,0.133,0.13699999999999998,0.992,0.252,0.008,,0.25,0.0,0.207,85.0,0.62,0.292,0.26899999999999996,0.452,0.325,0.0,2.0,0.0,2004-05,25.0,0.648,,,MEM,NBA,PF,60.0,1279.0,0.449,6.2
10350,0.517,0.107,0.135,0.996,0.23600000000000002,0.004,,1.0,0.0,0.175,68.0,0.599,0.38799999999999996,0.435,0.493,0.34299999999999997,0.0,0.0,0.0,2005-06,26.0,0.596,,,HOU,NBA,C,66.0,1344.0,0.491,5.5
