,Season,Pos,%2PA,%0-3A,%3-10A,%10-16A,%16-3ptA,%3PA,2P%,0-3%,3-10%,10-16%,16-3pt%,3P%,MPG
5,14,3,0.894,0.461,0.22,0.05,0.163,0.106,0.4920000000000001,0.6,0.387,0.429,0.348,0.267,13.444444444444445
7,14,3,0.921,0.472,0.236,0.055,0.157,0.079,0.496,0.6,0.3670000000000001,0.429,0.4,0.2,14.035714285714286
8,15,4,0.8190000000000001,0.29600000000000004,0.094,0.133,0.29600000000000004,0.181,0.494,0.6729999999999999,0.419,0.409,0.378,0.3,18.926470588235293
9,16,4,0.7709999999999999,0.458,0.121,0.037000000000000005,0.154,0.229,0.606,0.735,0.385,0.5,0.424,0.388,14.847457627118644
10,17,4,0.471,0.265,0.065,0.076,0.059,0.529,0.413,0.489,0.273,0.308,0.4,0.411,14.68421052631579
12,17,4,0.458,0.268,0.059,0.078,0.052000000000000005,0.542,0.414,0.488,0.222,0.25,0.5,0.434,15.9375
13,18,4,0.2,0.115,0.027000000000000003,0.025,0.033,0.8,0.384,0.5,0.0,0.333,0.333,0.349,19.414285714285715
14,19,4,0.16699999999999998,0.111,0.0,0.056,0.0,0.833,0.667,1.0,,0.0,,0.133,12.3
17,19,1,0.327,0.118,0.08199999999999999,0.073,0.055,0.6729999999999999,0.361,0.5379999999999999,0.111,0.25,0.5,0.338,12.588235294117647
20,14,5,1.0,0.659,0.292,0.043,0.005,0.0,0.503,0.615,0.29600000000000004,0.25,0.0,,14.777777777777779
21,15,5,0.995,0.599,0.35600000000000004,0.038,0.003,0.005,0.547,0.644,0.408,0.333,0.0,0.0,25.3
22,16,5,1.0,0.721,0.258,0.016,0.005,0.0,0.613,0.655,0.5,0.5710000000000001,0.5,,25.175
23,17,5,0.998,0.557,0.388,0.046,0.005,0.002,0.5720000000000001,0.655,0.488,0.3670000000000001,0.0,0.0,29.8625
24,18,5,0.997,0.708,0.233,0.052000000000000005,0.004,0.003,0.631,0.688,0.494,0.514,0.0,0.0,32.723684210526315
25,19,5,0.998,0.645,0.294,0.058,0.0,0.002,0.596,0.667,0.458,0.511,,0.0,33.3625
26,20,5,0.993,0.53,0.388,0.07200000000000001,0.002,0.006999999999999999,0.593,0.745,0.39,0.563,1.0,0.333,26.96551724137931
28,18,5,0.979,0.624,0.232,0.08199999999999999,0.041,0.021,0.523,0.642,0.329,0.321,0.214,0.0,19.82608695652174
29,19,5,0.969,0.5720000000000001,0.243,0.121,0.033,0.031,0.588,0.716,0.415,0.373,0.438,0.2,23.329268292682926
30,20,4,0.982,0.483,0.303,0.149,0.047,0.018000000000000002,0.5760000000000001,0.735,0.454,0.421,0.235,0.077,34.38461538461539
34,13,4,0.988,0.363,0.208,0.14300000000000002,0.274,0.012,0.434,0.508,0.429,0.417,0.348,0.0,13.711538461538462
35,14,4,1.0,0.56,0.222,0.098,0.12,0.0,0.52,0.617,0.426,0.333,0.394,,18.132075471698112
37,14,4,1.0,0.515,0.247,0.098,0.14,0.0,0.515,0.628,0.414,0.348,0.394,,25.178571428571427
38,15,4,1.0,0.523,0.25,0.114,0.114,0.0,0.4320000000000001,0.522,0.273,0.4,0.4,,12.647058823529411
39,8,2,0.8009999999999999,0.332,0.054000000000000006,0.129,0.28600000000000003,0.199,0.461,0.525,0.308,0.419,0.435,0.208,12.933333333333334
40,9,2,0.643,0.24,0.023,0.07,0.31,0.35700000000000004,0.456,0.625,0.429,0.333,0.355,0.402,16.675675675675677
41,10,2,0.574,0.258,0.056,0.079,0.181,0.426,0.488,0.55,0.364,0.391,0.481,0.434,27.085365853658537
42,11,2,0.604,0.241,0.132,0.077,0.155,0.396,0.546,0.662,0.518,0.5,0.412,0.423,33.68115942028985
43,12,2,0.684,0.272,0.142,0.107,0.163,0.316,0.504,0.684,0.32299999999999995,0.373,0.447,0.398,33.645161290322584
44,13,3,0.735,0.175,0.128,0.202,0.23,0.265,0.489,0.6459999999999999,0.414,0.4970000000000001,0.404,0.3,36.046875
45,14,2,0.703,0.157,0.081,0.161,0.304,0.297,0.473,0.591,0.366,0.509,0.42,0.4270000000000001,34.95890410958904
46,15,2,0.623,0.124,0.136,0.161,0.202,0.377,0.466,0.573,0.375,0.486,0.447,0.354,32.07692307692308
47,15,2,0.63,0.117,0.14800000000000002,0.17,0.195,0.37,0.481,0.5710000000000001,0.361,0.5,0.5,0.337,33.0188679245283
48,15,2,0.604,0.145,0.101,0.132,0.225,0.396,0.423,0.5760000000000001,0.435,0.433,0.314,0.4,30.08
49,16,2,0.7020000000000001,0.115,0.17800000000000002,0.193,0.217,0.298,0.469,0.609,0.458,0.455,0.416,0.382,33.394366197183096
50,17,2,0.64,0.1,0.117,0.18600000000000005,0.236,0.36,0.457,0.5710000000000001,0.449,0.449,0.424,0.411,25.901639344262296
51,18,2,0.568,0.093,0.123,0.154,0.198,0.4320000000000001,0.413,0.733,0.45,0.36,0.281,0.386,12.867924528301886
58,8,1,0.404,0.14,0.07,0.08800000000000001,0.105,0.596,0.217,0.25,0.5,0.2,0.0,0.294,14.75
64,15,4,0.936,0.628,0.16699999999999998,0.013,0.128,0.064,0.5479999999999999,0.6940000000000001,0.154,1.0,0.3,0.0,13.170731707317072
71,15,5,1.0,0.349,0.5710000000000001,0.06,0.006999999999999999,0.0,0.478,0.695,0.366,0.333,0.0,,16.0
72,16,5,1.0,0.56,0.4270000000000001,0.013,0.0,0.0,0.596,0.667,0.521,0.0,,,13.333333333333334
75,7,5,0.996,0.3670000000000001,0.129,0.194,0.305,0.004,0.505,0.71,0.484,0.312,0.39,0.0,22.095238095238095
76,8,4,0.994,0.197,0.272,0.218,0.308,0.006,0.486,0.693,0.463,0.443,0.403,0.14300000000000002,34.85526315789474
77,9,4,0.977,0.245,0.211,0.179,0.343,0.023,0.489,0.6709999999999999,0.45,0.422,0.418,0.25,37.08641975308642
78,10,4,0.986,0.247,0.215,0.21,0.314,0.014,0.498,0.716,0.442,0.431,0.409,0.313,37.46153846153846
79,11,4,0.984,0.32,0.271,0.155,0.238,0.016,0.505,0.7040000000000001,0.397,0.402,0.4270000000000001,0.174,39.641975308641975
80,12,4,0.988,0.281,0.182,0.205,0.32,0.012,0.516,0.687,0.523,0.404,0.434,0.182,36.25454545454546
81,13,4,0.989,0.215,0.192,0.197,0.385,0.011,0.488,0.6940000000000001,0.447,0.438,0.418,0.14300000000000002,37.7027027027027
82,14,4,0.989,0.18600000000000005,0.162,0.226,0.415,0.011,0.461,0.675,0.364,0.388,0.442,0.2,36.20289855072464
83,15,4,0.926,0.192,0.16399999999999998,0.206,0.365,0.07400000000000001,0.475,0.701,0.448,0.392,0.415,0.35200000000000004,35.38028169014085
84,16,4,0.985,0.279,0.191,0.211,0.303,0.015,0.521,0.733,0.465,0.4270000000000001,0.426,0.0,30.554054054054053
85,17,4,0.947,0.222,0.194,0.202,0.328,0.053,0.48,0.7,0.422,0.387,0.424,0.411,32.43055555555556
86,18,5,0.932,0.275,0.212,0.256,0.189,0.068,0.526,0.735,0.446,0.438,0.431,0.293,33.45333333333333
87,19,5,0.968,0.27,0.246,0.252,0.201,0.032,0.528,0.716,0.485,0.4370000000000001,0.442,0.238,33.17283950617284
88,20,5,0.802,0.202,0.129,0.227,0.245,0.198,0.519,0.7190000000000001,0.471,0.461,0.433,0.389,33.094339622641506
90,97,1,0.486,0.224,0.047,0.055,0.159,0.514,0.42,0.418,0.565,0.185,0.462,0.373,18.175
91,98,1,0.56,0.145,0.04,0.075,0.3,0.44,0.469,0.621,0.313,0.333,0.45,0.375,21.633333333333333
92,98,1,0.5589999999999999,0.117,0.055,0.097,0.29,0.441,0.494,0.765,0.25,0.429,0.452,0.313,13.54054054054054
93,98,1,0.561,0.161,0.031,0.063,0.306,0.439,0.455,0.561,0.375,0.25,0.449,0.411,34.65217391304348
94,99,1,0.596,0.127,0.104,0.108,0.258,0.404,0.4320000000000001,0.455,0.593,0.393,0.373,0.28600000000000003,21.61111111111111
97,5,2,0.612,0.204,0.041,0.163,0.204,0.388,0.267,0.5,0.0,0.25,0.1,0.421,12.5625
98,97,1,0.486,0.224,0.047,0.055,0.159,0.514,0.42,0.418,0.565,0.185,0.462,0.373,18.175
99,98,1,0.56,0.145,0.04,0.075,0.3,0.44,0.469,0.621,0.313,0.333,0.45,0.375,21.633333333333333
100,98,1,0.5589999999999999,0.117,0.055,0.097,0.29,0.441,0.494,0.765,0.25,0.429,0.452,0.313,13.54054054054054
101,98,1,0.561,0.161,0.031,0.063,0.306,0.439,0.455,0.561,0.375,0.25,0.449,0.411,34.65217391304348
102,99,1,0.596,0.127,0.104,0.108,0.258,0.404,0.4320000000000001,0.455,0.593,0.393,0.373,0.28600000000000003,21.61111111111111
105,5,2,0.612,0.204,0.041,0.163,0.204,0.388,0.267,0.5,0.0,0.25,0.1,0.421,12.5625
106,9,3,0.812,0.302,0.094,0.18,0.237,0.188,0.4320000000000001,0.622,0.217,0.341,0.345,0.348,12.135593220338983
109,19,2,0.6920000000000001,0.385,0.282,0.026,0.0,0.308,0.37,0.5329999999999999,0.182,0.0,,0.25,12.0
111,20,2,0.483,0.188,0.199,0.091,0.006,0.517,0.541,0.758,0.4,0.438,0.0,0.363,16.6
112,18,5,0.962,0.6679999999999999,0.232,0.038,0.023,0.038,0.599,0.698,0.38,0.333,0.333,0.333,20.01388888888889
113,19,5,0.921,0.6779999999999999,0.22,0.021,0.002,0.079,0.629,0.725,0.384,0.16699999999999998,0.0,0.133,26.2
114,20,5,0.988,0.772,0.201,0.012,0.002,0.012,0.654,0.737,0.373,0.2,0.0,0.0,25.734375
115,97,2,0.579,0.344,0.086,0.054000000000000006,0.09,0.421,0.375,0.447,0.211,0.333,0.25,0.32299999999999995,12.407894736842104
116,97,2,0.599,0.313,0.116,0.068,0.095,0.401,0.386,0.478,0.235,0.3,0.28600000000000003,0.39,13.568627450980392
119,19,2,0.745,0.298,0.184,0.191,0.071,0.255,0.457,0.643,0.308,0.37,0.3,0.472,21.894736842105264
121,12,4,1.0,0.222,0.21,0.24,0.329,0.0,0.473,0.6759999999999999,0.6,0.4,0.309,,15.21951219512195
122,13,5,0.998,0.275,0.222,0.165,0.335,0.002,0.455,0.664,0.436,0.36,0.342,0.0,21.126582278481013
123,14,4,0.957,0.29,0.27,0.14,0.257,0.043,0.46,0.563,0.531,0.28600000000000003,0.364,0.154,16.49230769230769
124,14,4,0.951,0.282,0.267,0.132,0.271,0.049,0.455,0.547,0.535,0.28600000000000003,0.361,0.154,18.823529411764707
126,15,5,1.0,0.308,0.224,0.09,0.378,0.0,0.472,0.7070000000000001,0.403,0.259,0.3720000000000001,,16.984126984126984
127,16,4,1.0,0.381,0.273,0.103,0.243,0.0,0.516,0.7090000000000001,0.446,0.289,0.389,,20.240506329113924
128,17,4,0.994,0.35700000000000004,0.256,0.06,0.321,0.006,0.461,0.583,0.465,0.2,0.37,0.0,14.278688524590164
129,2,4,0.98,0.17600000000000002,0.21600000000000005,0.21600000000000005,0.373,0.02,0.44,0.778,0.455,0.182,0.421,0.0,13.416666666666666
130,3,4,0.995,0.119,0.222,0.261,0.394,0.005,0.426,0.5429999999999999,0.457,0.345,0.428,0.0,28.975
131,4,4,1.0,0.111,0.177,0.232,0.48,0.0,0.419,0.5,0.429,0.37,0.421,,13.688888888888888
132,5,4,1.0,0.147,0.13,0.26,0.463,0.0,0.475,0.8079999999999999,0.348,0.391,0.451,,14.416666666666666
133,5,4,1.0,0.184,0.158,0.224,0.434,0.0,0.461,0.7859999999999999,0.333,0.471,0.364,,17.714285714285715
134,5,4,1.0,0.119,0.109,0.287,0.485,0.0,0.485,0.833,0.364,0.345,0.51,,12.318181818181818
135,6,4,0.996,0.18600000000000005,0.18600000000000005,0.29100000000000004,0.332,0.004,0.488,0.435,0.522,0.472,0.512,1.0,12.981481481481481
137,8,4,0.994,0.128,0.07,0.196,0.599,0.006,0.48,0.524,0.174,0.469,0.51,0.5,15.013698630136986
138,8,4,0.992,0.123,0.069,0.195,0.605,0.008,0.475,0.531,0.111,0.451,0.513,0.5,15.895833333333334
139,8,4,1.0,0.152,0.076,0.197,0.5760000000000001,0.0,0.5,0.5,0.4,0.5379999999999999,0.5,,13.32
143,5,2,0.92,0.574,0.132,0.041,0.173,0.08,0.483,0.595,0.118,0.438,0.403,0.387,16.38961038961039
144,6,1,0.8759999999999999,0.544,0.153,0.058,0.12,0.124,0.4920000000000001,0.617,0.31,0.25,0.273,0.324,19.176470588235293
145,7,2,0.873,0.5479999999999999,0.124,0.062,0.139,0.127,0.5529999999999999,0.669,0.406,0.188,0.389,0.242,24.393939393939394
146,8,2,0.853,0.491,0.149,0.067,0.147,0.147,0.455,0.524,0.379,0.34600000000000003,0.35100000000000003,0.316,18.30666666666667
147,9,2,0.905,0.585,0.173,0.049,0.099,0.095,0.51,0.62,0.3670000000000001,0.071,0.321,0.222,19.282608695652176
148,10,2,0.98,0.64,0.142,0.071,0.126,0.02,0.52,0.667,0.25,0.278,0.219,0.0,16.462962962962962
149,11,2,0.953,0.545,0.234,0.049,0.126,0.047,0.527,0.672,0.35700000000000004,0.292,0.306,0.174,20.75
150,12,2,0.942,0.5329999999999999,0.16699999999999998,0.071,0.17,0.058,0.479,0.5820000000000001,0.34700000000000003,0.25,0.382,0.308,26.29310344827586
151,13,2,0.962,0.52,0.149,0.063,0.23,0.038,0.458,0.581,0.295,0.375,0.306,0.125,26.696202531645568
152,14,2,0.8859999999999999,0.562,0.123,0.048,0.153,0.114,0.527,0.647,0.373,0.3,0.28600000000000003,0.234,23.236363636363638
153,15,2,0.936,0.69,0.165,0.031,0.051,0.064,0.505,0.564,0.333,0.5,0.261,0.345,26.158730158730158
154,16,2,0.91,0.5820000000000001,0.168,0.047,0.113,0.09,0.468,0.575,0.203,0.364,0.358,0.35700000000000004,25.3125
155,17,2,0.909,0.652,0.166,0.03,0.061,0.091,0.479,0.557,0.273,0.333,0.278,0.278,26.95774647887324
156,18,3,0.868,0.659,0.154,0.0,0.055,0.132,0.506,0.5670000000000001,0.35700000000000004,,0.2,0.333,12.409090909090908
160,12,2,0.8240000000000001,0.17600000000000002,0.059,0.118,0.471,0.17600000000000002,0.35700000000000004,0.667,0.0,0.0,0.375,0.333,16.75
162,0,1,0.853,0.116,0.116,0.221,0.4,0.147,0.29600000000000004,0.273,0.364,0.238,0.316,0.214,13.37037037037037
164,2,1,0.628,0.23,0.042,0.08900000000000001,0.267,0.3720000000000001,0.325,0.455,0.25,0.17600000000000002,0.275,0.38,12.0
165,3,1,0.612,0.212,0.11,0.066,0.224,0.388,0.429,0.507,0.459,0.364,0.36,0.392,20.851063829787233
166,4,1,0.4320000000000001,0.174,0.086,0.047,0.124,0.568,0.382,0.504,0.318,0.16699999999999998,0.337,0.371,31.475609756097562
167,5,1,0.601,0.302,0.103,0.049,0.147,0.399,0.451,0.514,0.38,0.396,0.392,0.35700000000000004,33.9625
168,6,1,0.5770000000000001,0.225,0.117,0.041,0.195,0.423,0.418,0.53,0.419,0.233,0.326,0.327,38.58730158730159
169,7,1,0.481,0.22,0.113,0.043,0.106,0.519,0.389,0.487,0.348,0.227,0.29600000000000004,0.363,37.073170731707314
170,8,1,0.56,0.214,0.126,0.054000000000000006,0.166,0.44,0.4270000000000001,0.505,0.422,0.4,0.34,0.35100000000000003,34.13513513513514
171,9,1,0.596,0.279,0.14,0.051,0.126,0.404,0.417,0.445,0.409,0.28600000000000003,0.417,0.338,31.77922077922078
172,9,1,0.5589999999999999,0.238,0.149,0.061,0.111,0.441,0.387,0.403,0.41,0.25,0.397,0.348,33.145833333333336
173,9,1,0.6609999999999999,0.35200000000000004,0.124,0.034,0.151,0.339,0.462,0.495,0.405,0.4,0.444,0.317,29.517241379310345
174,10,1,0.623,0.233,0.168,0.049,0.173,0.377,0.349,0.404,0.373,0.318,0.26,0.345,27.326923076923077
175,10,1,0.6859999999999999,0.245,0.188,0.058,0.195,0.314,0.353,0.412,0.385,0.375,0.241,0.322,28.37037037037037
176,10,1,0.521,0.213,0.136,0.036000000000000004,0.136,0.479,0.341,0.389,0.348,0.16699999999999998,0.304,0.37,26.2
178,0,5,0.991,0.287,0.266,0.123,0.316,0.009000000000000001,0.439,0.547,0.355,0.407,0.425,0.16699999999999998,21.05
179,1,5,0.988,0.4,0.203,0.122,0.264,0.012,0.405,0.54,0.317,0.306,0.314,0.0,20.853658536585368
187,9,4,0.996,0.728,0.16399999999999998,0.06,0.044,0.004,0.5379999999999999,0.604,0.293,0.333,0.636,0.0,13.736842105263158
188,10,4,0.996,0.725,0.159,0.07200000000000001,0.04,0.004,0.5529999999999999,0.595,0.455,0.45,0.364,0.0,14.784810126582279
189,11,4,1.0,0.617,0.23,0.087,0.066,0.0,0.454,0.575,0.19,0.313,0.417,,15.021739130434783
190,12,4,1.0,0.57,0.256,0.15,0.024,0.0,0.43,0.534,0.302,0.258,0.4,,12.55
198,15,4,0.996,0.494,0.318,0.122,0.055,0.004,0.429,0.468,0.358,0.387,0.5,0.0,17.67924528301887
200,15,4,0.996,0.494,0.309,0.128,0.058,0.004,0.434,0.475,0.36,0.387,0.5,0.0,20.926829268292682
203,3,5,0.996,0.5720000000000001,0.147,0.119,0.158,0.004,0.401,0.54,0.238,0.294,0.133,0.0,15.372881355932204
204,4,4,0.995,0.606,0.054000000000000006,0.108,0.227,0.005,0.446,0.537,0.182,0.273,0.348,0.0,14.492957746478874
205,5,5,0.992,0.589,0.075,0.14,0.187,0.008,0.5379999999999999,0.6779999999999999,0.333,0.3,0.358,0.0,21.34328358208955
206,6,5,1.0,0.8270000000000001,0.031,0.051,0.092,0.0,0.5710000000000001,0.617,0.333,0.4,0.333,,17.8125
208,9,5,0.966,0.747,0.08900000000000001,0.065,0.065,0.034,0.56,0.628,0.269,0.368,0.368,0.2,20.56338028169014
209,10,4,0.988,0.769,0.052000000000000005,0.036000000000000004,0.131,0.012,0.573,0.627,0.385,0.222,0.424,0.0,22.30263157894737
210,11,5,0.993,0.774,0.08800000000000001,0.073,0.058,0.006999999999999999,0.603,0.67,0.333,0.1,0.75,0.0,16.266666666666666
211,12,5,1.0,0.713,0.07400000000000001,0.037000000000000005,0.17600000000000002,0.0,0.546,0.623,0.5,0.75,0.211,,15.1875
212,13,5,0.976,0.805,0.106,0.008,0.057,0.024,0.575,0.6459999999999999,0.231,0.0,0.28600000000000003,0.667,14.857142857142858
213,14,5,0.956,0.789,0.08,0.018000000000000002,0.069,0.044,0.662,0.747,0.182,0.4,0.316,0.25,19.38888888888889
214,15,5,0.937,0.705,0.08199999999999999,0.043,0.097,0.063,0.598,0.6709999999999999,0.412,0.333,0.4,0.308,18.866666666666667
215,16,5,0.8059999999999999,0.639,0.056,0.028,0.083,0.194,0.586,0.674,0.0,0.0,0.5,0.28600000000000003,14.88888888888889
217,16,5,0.855,0.6940000000000001,0.048,0.032,0.081,0.145,0.604,0.674,0.0,0.0,0.6,0.222,18.3
219,6,3,0.68,0.37,0.083,0.044,0.182,0.32,0.415,0.537,0.267,0.375,0.242,0.414,15.666666666666666
220,7,2,0.753,0.383,0.07400000000000001,0.086,0.21,0.247,0.525,0.613,0.333,0.7140000000000001,0.353,0.25,15.058823529411764
221,12,3,0.57,0.14800000000000002,0.106,0.106,0.211,0.43,0.383,0.619,0.267,0.2,0.3670000000000001,0.393,27.11764705882353
222,13,3,0.537,0.14800000000000002,0.14,0.107,0.14300000000000002,0.463,0.426,0.6809999999999999,0.3720000000000001,0.409,0.227,0.333,23.0
223,14,3,0.489,0.181,0.087,0.103,0.118,0.511,0.464,0.659,0.238,0.4,0.386,0.339,22.73076923076923
224,15,2,0.523,0.23,0.111,0.095,0.086,0.477,0.53,0.6829999999999999,0.449,0.452,0.289,0.348,23.56756756756757
225,16,2,0.373,0.153,0.085,0.102,0.034,0.627,0.409,0.556,0.2,0.333,0.5,0.324,14.76923076923077
227,98,3,0.857,0.305,0.109,0.188,0.254,0.14300000000000002,0.442,0.575,0.313,0.364,0.396,0.202,27.863636363636363
228,99,2,0.78,0.261,0.057,0.159,0.303,0.22,0.424,0.524,0.222,0.34,0.421,0.304,25.736842105263158
229,0,2,0.7929999999999999,0.255,0.08,0.183,0.276,0.207,0.472,0.644,0.348,0.382,0.409,0.309,34.390625
230,1,2,0.745,0.251,0.07200000000000001,0.121,0.302,0.255,0.422,0.606,0.141,0.35,0.363,0.399,34.86585365853659
231,2,2,0.627,0.229,0.049,0.069,0.28300000000000003,0.373,0.422,0.536,0.233,0.35700000000000004,0.376,0.373,26.571428571428573
232,3,1,0.602,0.192,0.054000000000000006,0.091,0.264,0.398,0.477,0.6559999999999999,0.489,0.382,0.377,0.35,33.63157894736842
233,4,2,0.5770000000000001,0.145,0.025,0.093,0.314,0.423,0.428,0.539,0.4,0.298,0.417,0.305,35.490196078431374
234,5,2,0.614,0.153,0.07400000000000001,0.092,0.294,0.386,0.392,0.633,0.379,0.306,0.29600000000000004,0.384,26.361702127659573
235,6,2,0.5579999999999999,0.125,0.059,0.109,0.264,0.442,0.402,0.579,0.278,0.394,0.35,0.299,24.348837209302324
236,6,2,0.613,0.127,0.064,0.104,0.318,0.387,0.462,0.682,0.455,0.444,0.382,0.284,29.1
237,6,2,0.485,0.123,0.054000000000000006,0.115,0.192,0.515,0.302,0.438,0.0,0.333,0.28,0.313,20.217391304347824
238,7,3,0.483,0.16,0.031,0.068,0.224,0.517,0.507,0.7020000000000001,0.556,0.35,0.409,0.355,23.8
239,8,2,0.584,0.17600000000000002,0.032,0.104,0.272,0.416,0.384,0.5,0.25,0.385,0.324,0.365,14.142857142857142
240,97,5,0.996,0.847,0.126,0.023,0.0,0.004,0.498,0.486,0.606,0.333,,0.0,20.23170731707317
247,14,2,0.51,0.308,0.098,0.049,0.056,0.49,0.53,0.6609999999999999,0.343,0.314,0.325,0.328,28.8625
248,16,2,0.517,0.253,0.152,0.051,0.062,0.483,0.478,0.622,0.407,0.0,0.455,0.267,14.137254901960784
250,17,3,0.5579999999999999,0.319,0.128,0.057,0.05,0.442,0.522,0.7070000000000001,0.339,0.28,0.136,0.299,16.373333333333335
251,17,3,0.56,0.29600000000000004,0.152,0.058,0.051,0.44,0.477,0.6709999999999999,0.333,0.25,0.071,0.303,13.92156862745098
252,17,3,0.556,0.358,0.086,0.056,0.049,0.444,0.6,0.759,0.35700000000000004,0.333,0.25,0.292,21.583333333333332
253,18,3,0.49,0.302,0.104,0.04,0.045,0.51,0.535,0.672,0.238,0.375,0.444,0.33,13.657894736842104
256,97,1,0.6779999999999999,0.375,0.086,0.106,0.112,0.322,0.458,0.519,0.306,0.3670000000000001,0.457,0.361,37.573170731707314
257,98,1,0.763,0.274,0.086,0.142,0.26,0.237,0.411,0.503,0.345,0.4270000000000001,0.326,0.35600000000000004,30.459016393442624
258,98,1,0.748,0.285,0.078,0.13699999999999998,0.249,0.252,0.398,0.48,0.341,0.389,0.328,0.353,32.71111111111111
259,98,1,0.816,0.238,0.116,0.163,0.299,0.184,0.45,0.6,0.353,0.542,0.318,0.37,24.125
260,99,1,0.933,0.325,0.16,0.182,0.266,0.067,0.465,0.586,0.368,0.4,0.421,0.25,29.705882352941178
261,0,1,0.777,0.219,0.166,0.162,0.229,0.223,0.456,0.495,0.409,0.375,0.509,0.386,31.621951219512194
262,1,1,0.855,0.233,0.17600000000000002,0.181,0.264,0.145,0.397,0.547,0.3,0.341,0.3670000000000001,0.333,25.727272727272727
263,2,1,0.954,0.28800000000000003,0.127,0.155,0.384,0.046,0.444,0.5529999999999999,0.308,0.35100000000000003,0.444,0.273,31.973684210526315
264,3,1,0.982,0.317,0.168,0.154,0.343,0.018000000000000002,0.4320000000000001,0.5539999999999999,0.297,0.458,0.374,0.14300000000000002,18.60655737704918
265,3,1,0.978,0.31,0.177,0.155,0.336,0.022,0.449,0.569,0.317,0.5,0.385,0.0,18.13157894736842
266,3,1,0.987,0.327,0.153,0.153,0.353,0.013,0.405,0.531,0.261,0.391,0.358,0.5,19.391304347826086
267,4,1,0.984,0.313,0.141,0.156,0.375,0.016,0.444,0.588,0.444,0.3,0.385,0.25,20.568181818181817
268,5,1,0.935,0.249,0.114,0.219,0.353,0.065,0.42,0.52,0.304,0.295,0.465,0.462,17.27906976744186
269,5,1,0.932,0.253,0.116,0.226,0.337,0.068,0.424,0.5,0.273,0.302,0.5,0.462,18.384615384615383
272,16,3,0.875,0.217,0.2,0.251,0.21,0.125,0.488,0.609,0.373,0.5,0.452,0.324,15.961538461538462
273,17,3,0.809,0.344,0.196,0.105,0.163,0.191,0.462,0.611,0.439,0.273,0.294,0.375,14.166666666666666
274,18,3,0.87,0.388,0.249,0.128,0.105,0.13,0.556,0.688,0.459,0.482,0.391,0.333,26.72972972972973
275,19,3,0.877,0.464,0.261,0.051,0.101,0.123,0.583,0.68,0.486,0.35700000000000004,0.5,0.265,29.790697674418606
276,20,4,0.779,0.28600000000000003,0.261,0.132,0.1,0.221,0.56,0.65,0.5479999999999999,0.4320000000000001,0.5,0.258,19.322033898305083
277,97,2,0.441,0.157,0.124,0.084,0.076,0.5589999999999999,0.453,0.5529999999999999,0.4,0.311,0.491,0.353,34.333333333333336
278,98,3,0.716,0.227,0.194,0.102,0.194,0.284,0.493,0.614,0.479,0.312,0.459,0.36,29.32758620689655
279,99,3,0.5670000000000001,0.175,0.17800000000000002,0.091,0.123,0.433,0.433,0.563,0.342,0.345,0.443,0.34700000000000003,33.638297872340424
280,0,2,0.4920000000000001,0.119,0.157,0.069,0.147,0.508,0.452,0.602,0.439,0.407,0.365,0.332,29.083333333333332
282,2,2,0.368,0.066,0.039,0.079,0.184,0.632,0.28600000000000003,0.6,0.333,0.333,0.14300000000000002,0.271,14.6
283,9,4,0.536,0.413,0.054000000000000006,0.01,0.059,0.464,0.417,0.435,0.318,0.5,0.375,0.365,19.87878787878788
284,10,4,0.456,0.33,0.034,0.018000000000000002,0.075,0.544,0.514,0.586,0.308,0.429,0.31,0.37,14.46031746031746
285,11,4,0.35,0.242,0.059,0.01,0.04,0.65,0.5,0.606,0.258,0.2,0.28600000000000003,0.393,22.25
286,12,4,0.443,0.29600000000000004,0.065,0.02,0.062,0.557,0.496,0.594,0.265,0.4,0.298,0.393,32.19672131147541
287,13,4,0.5,0.191,0.097,0.069,0.14300000000000002,0.5,0.464,0.5870000000000001,0.333,0.312,0.463,0.382,30.901234567901234
288,14,4,0.537,0.198,0.093,0.09,0.155,0.463,0.463,0.529,0.333,0.344,0.527,0.409,36.13636363636363
289,15,4,0.508,0.211,0.095,0.08199999999999999,0.119,0.4920000000000001,0.457,0.5579999999999999,0.464,0.333,0.35600000000000004,0.34,27.459016393442624
290,16,4,0.615,0.227,0.097,0.112,0.179,0.385,0.466,0.521,0.433,0.375,0.47,0.366,30.424242424242426
291,17,4,0.345,0.14400000000000002,0.07400000000000001,0.035,0.092,0.655,0.446,0.568,0.35100000000000003,0.444,0.338,0.403,29.38888888888889
292,18,4,0.294,0.142,0.044,0.04,0.069,0.706,0.539,0.647,0.14300000000000002,0.579,0.545,0.386,26.136363636363637
293,19,4,0.42,0.203,0.0,0.101,0.116,0.58,0.414,0.5,,0.14300000000000002,0.5,0.225,12.88
294,19,4,0.433,0.2,0.0,0.117,0.117,0.5670000000000001,0.462,0.583,,0.14300000000000002,0.5710000000000001,0.206,18.533333333333335
297,97,2,0.852,0.503,0.126,0.119,0.104,0.14800000000000002,0.454,0.513,0.5,0.263,0.333,0.511,16.4
298,98,2,0.936,0.606,0.138,0.084,0.106,0.064,0.56,0.66,0.377,0.333,0.396,0.219,19.536585365853657
299,99,2,0.887,0.463,0.146,0.099,0.179,0.113,0.46,0.631,0.321,0.222,0.262,0.341,21.44
