,Season,Pos,%2PA,%0-3A,%3-10A,%10-16A,%16-3ptA,%3PA,2P%,0-3%,3-10%,10-16%,16-3pt%,3P%,MPG
7007,13,3,0.421,0.087,0.056,0.06,0.218,0.579,0.358,0.5,0.35700000000000004,0.267,0.327,0.397,16.926829268292682
7008,14,3,0.428,0.155,0.061,0.068,0.14400000000000002,0.5720000000000001,0.46,0.634,0.188,0.444,0.395,0.391,14.745762711864407
7009,14,3,0.43,0.16,0.063,0.066,0.141,0.57,0.455,0.634,0.188,0.471,0.361,0.384,15.50943396226415
7012,20,3,0.628,0.44,0.101,0.019,0.068,0.3720000000000001,0.546,0.6809999999999999,0.238,0.0,0.28600000000000003,0.234,18.8125
7014,97,1,0.674,0.391,0.054000000000000006,0.056,0.173,0.326,0.415,0.431,0.359,0.375,0.411,0.389,22.195121951219512
7015,98,1,0.599,0.279,0.114,0.07,0.136,0.401,0.384,0.5,0.277,0.294,0.28300000000000003,0.365,28.036585365853657
7016,99,1,0.619,0.35600000000000004,0.115,0.022,0.126,0.381,0.413,0.535,0.188,0.0,0.343,0.292,25.43243243243243
7017,0,1,0.6459999999999999,0.234,0.189,0.069,0.154,0.354,0.42,0.512,0.394,0.333,0.35200000000000004,0.306,12.577464788732394
7021,5,1,0.64,0.12,0.14,0.12,0.26,0.36,0.344,0.333,0.28600000000000003,0.333,0.385,0.278,17.272727272727273
7025,16,4,0.983,0.466,0.172,0.129,0.21600000000000005,0.017,0.474,0.574,0.35,0.6,0.28,0.0,14.074074074074074
7026,17,4,0.8340000000000001,0.517,0.099,0.04,0.179,0.166,0.389,0.423,0.2,0.5,0.37,0.36,13.285714285714286
7027,18,4,0.802,0.413,0.091,0.091,0.208,0.198,0.47,0.5710000000000001,0.244,0.422,0.388,0.34700000000000003,22.753424657534246
7029,1,4,0.986,0.269,0.203,0.221,0.292,0.014,0.45,0.6990000000000001,0.411,0.29100000000000004,0.37,0.091,33.411764705882355
7030,2,4,0.93,0.331,0.207,0.179,0.214,0.07,0.48,0.7170000000000001,0.397,0.36,0.29600000000000004,0.224,34.3013698630137
7031,3,4,0.96,0.409,0.258,0.127,0.166,0.04,0.481,0.664,0.384,0.336,0.294,0.209,34.12987012987013
7032,4,4,0.972,0.408,0.252,0.111,0.201,0.028,0.494,0.6679999999999999,0.392,0.3,0.376,0.28,34.646153846153844
7033,5,4,0.987,0.4320000000000001,0.196,0.159,0.2,0.013,0.496,0.648,0.41,0.361,0.359,0.0,32.457142857142856
7034,6,4,0.963,0.373,0.188,0.162,0.24,0.037000000000000005,0.505,0.6829999999999999,0.336,0.454,0.396,0.227,27.607142857142858
7035,7,4,0.938,0.438,0.125,0.063,0.313,0.063,0.5329999999999999,0.857,0.0,0.0,0.4,0.0,31.5
7036,8,4,0.984,0.475,0.223,0.117,0.16899999999999998,0.016,0.544,0.708,0.41,0.366,0.381,0.182,30.408450704225352
7037,9,4,0.941,0.404,0.228,0.086,0.222,0.059,0.498,0.6559999999999999,0.466,0.196,0.361,0.368,31.984848484848484
7038,10,4,0.953,0.36,0.224,0.1,0.269,0.047,0.465,0.632,0.439,0.32299999999999995,0.317,0.276,34.241379310344826
7039,11,4,0.975,0.45,0.202,0.08800000000000001,0.235,0.025,0.518,0.7240000000000001,0.411,0.375,0.271,0.222,25.6875
7040,12,4,0.941,0.28600000000000003,0.173,0.136,0.345,0.059,0.454,0.698,0.447,0.3,0.316,0.231,22.38095238095238
7041,13,5,1.0,0.6559999999999999,0.118,0.032,0.194,0.0,0.602,0.787,0.273,0.333,0.222,,23.944444444444443
7042,14,4,0.992,0.528,0.187,0.081,0.195,0.008,0.516,0.708,0.217,0.3,0.375,0.0,19.78125
7044,1,4,0.986,0.269,0.203,0.221,0.292,0.014,0.45,0.6990000000000001,0.411,0.29100000000000004,0.37,0.091,33.411764705882355
7045,2,4,0.93,0.331,0.207,0.179,0.214,0.07,0.48,0.7170000000000001,0.397,0.36,0.29600000000000004,0.224,34.3013698630137
7046,3,4,0.96,0.409,0.258,0.127,0.166,0.04,0.481,0.664,0.384,0.336,0.294,0.209,34.12987012987013
7047,4,4,0.972,0.408,0.252,0.111,0.201,0.028,0.494,0.6679999999999999,0.392,0.3,0.376,0.28,34.646153846153844
7048,5,4,0.987,0.4320000000000001,0.196,0.159,0.2,0.013,0.496,0.648,0.41,0.361,0.359,0.0,32.457142857142856
7049,6,4,0.963,0.373,0.188,0.162,0.24,0.037000000000000005,0.505,0.6829999999999999,0.336,0.454,0.396,0.227,27.607142857142858
7050,7,4,0.938,0.438,0.125,0.063,0.313,0.063,0.5329999999999999,0.857,0.0,0.0,0.4,0.0,31.5
7051,8,4,0.984,0.475,0.223,0.117,0.16899999999999998,0.016,0.544,0.708,0.41,0.366,0.381,0.182,30.408450704225352
7052,9,4,0.941,0.404,0.228,0.086,0.222,0.059,0.498,0.6559999999999999,0.466,0.196,0.361,0.368,31.984848484848484
7053,10,4,0.953,0.36,0.224,0.1,0.269,0.047,0.465,0.632,0.439,0.32299999999999995,0.317,0.276,34.241379310344826
7054,11,4,0.975,0.45,0.202,0.08800000000000001,0.235,0.025,0.518,0.7240000000000001,0.411,0.375,0.271,0.222,25.6875
7055,12,4,0.941,0.28600000000000003,0.173,0.136,0.345,0.059,0.454,0.698,0.447,0.3,0.316,0.231,22.38095238095238
7056,13,5,1.0,0.6559999999999999,0.118,0.032,0.194,0.0,0.602,0.787,0.273,0.333,0.222,,23.944444444444443
7057,14,4,0.992,0.528,0.187,0.081,0.195,0.008,0.516,0.708,0.217,0.3,0.375,0.0,19.78125
7059,1,4,0.986,0.269,0.203,0.221,0.292,0.014,0.45,0.6990000000000001,0.411,0.29100000000000004,0.37,0.091,33.411764705882355
7060,2,4,0.93,0.331,0.207,0.179,0.214,0.07,0.48,0.7170000000000001,0.397,0.36,0.29600000000000004,0.224,34.3013698630137
7061,3,4,0.96,0.409,0.258,0.127,0.166,0.04,0.481,0.664,0.384,0.336,0.294,0.209,34.12987012987013
7062,4,4,0.972,0.408,0.252,0.111,0.201,0.028,0.494,0.6679999999999999,0.392,0.3,0.376,0.28,34.646153846153844
7063,5,4,0.987,0.4320000000000001,0.196,0.159,0.2,0.013,0.496,0.648,0.41,0.361,0.359,0.0,32.457142857142856
7064,6,4,0.963,0.373,0.188,0.162,0.24,0.037000000000000005,0.505,0.6829999999999999,0.336,0.454,0.396,0.227,27.607142857142858
7065,7,4,0.938,0.438,0.125,0.063,0.313,0.063,0.5329999999999999,0.857,0.0,0.0,0.4,0.0,31.5
7066,8,4,0.984,0.475,0.223,0.117,0.16899999999999998,0.016,0.544,0.708,0.41,0.366,0.381,0.182,30.408450704225352
7067,9,4,0.941,0.404,0.228,0.086,0.222,0.059,0.498,0.6559999999999999,0.466,0.196,0.361,0.368,31.984848484848484
7068,10,4,0.953,0.36,0.224,0.1,0.269,0.047,0.465,0.632,0.439,0.32299999999999995,0.317,0.276,34.241379310344826
7069,11,4,0.975,0.45,0.202,0.08800000000000001,0.235,0.025,0.518,0.7240000000000001,0.411,0.375,0.271,0.222,25.6875
7070,12,4,0.941,0.28600000000000003,0.173,0.136,0.345,0.059,0.454,0.698,0.447,0.3,0.316,0.231,22.38095238095238
7071,13,5,1.0,0.6559999999999999,0.118,0.032,0.194,0.0,0.602,0.787,0.273,0.333,0.222,,23.944444444444443
7072,14,4,0.992,0.528,0.187,0.081,0.195,0.008,0.516,0.708,0.217,0.3,0.375,0.0,19.78125
7074,97,3,0.627,0.249,0.139,0.155,0.085,0.373,0.421,0.481,0.379,0.339,0.46,0.325,31.36231884057971
7075,97,3,0.652,0.293,0.104,0.149,0.106,0.348,0.4,0.436,0.385,0.321,0.425,0.321,26.35135135135135
7076,97,3,0.602,0.204,0.174,0.161,0.063,0.398,0.443,0.547,0.375,0.35600000000000004,0.522,0.329,37.15625
7077,98,3,0.789,0.269,0.224,0.13,0.166,0.211,0.47,0.581,0.38,0.413,0.458,0.303,36.020833333333336
7078,99,3,0.899,0.32,0.172,0.135,0.273,0.101,0.453,0.568,0.373,0.35,0.42,0.433,35.625
7079,0,3,0.76,0.159,0.153,0.199,0.249,0.24,0.458,0.636,0.362,0.411,0.441,0.403,37.21052631578947
7080,1,3,0.792,0.192,0.105,0.208,0.28600000000000003,0.208,0.428,0.596,0.473,0.381,0.332,0.35600000000000004,39.328947368421055
7081,2,3,0.8490000000000001,0.149,0.129,0.258,0.313,0.151,0.415,0.55,0.396,0.391,0.378,0.366,40.025
7082,3,3,0.807,0.146,0.125,0.281,0.256,0.193,0.43,0.5579999999999999,0.444,0.438,0.342,0.389,40.5
7083,4,3,0.8320000000000001,0.136,0.093,0.35200000000000004,0.251,0.168,0.414,0.389,0.35100000000000003,0.436,0.42,0.284,38.421052631578945
7084,97,4,0.996,0.644,0.128,0.155,0.069,0.004,0.526,0.507,0.462,0.555,0.754,0.333,43.054794520547944
7085,98,4,0.995,0.483,0.27,0.213,0.029,0.005,0.512,0.612,0.408,0.411,0.545,0.0,38.864197530864196
7086,0,3,0.998,0.418,0.272,0.268,0.041,0.002,0.48,0.562,0.422,0.429,0.37,0.0,38.207317073170735
7087,1,4,1.0,0.327,0.321,0.269,0.083,0.0,0.482,0.574,0.458,0.4320000000000001,0.38,,40.675
7088,2,4,0.998,0.383,0.337,0.236,0.042,0.002,0.504,0.529,0.531,0.419,0.5379999999999999,1.0,38.329268292682926
7089,3,5,0.997,0.336,0.28,0.308,0.07400000000000001,0.003,0.487,0.561,0.5,0.364,0.621,0.0,32.6
7090,1,3,0.847,0.267,0.123,0.134,0.32299999999999995,0.153,0.46,0.6579999999999999,0.315,0.339,0.401,0.269,19.512820512820515
7091,2,3,0.923,0.221,0.142,0.12,0.441,0.077,0.48,0.653,0.275,0.478,0.46,0.271,32.266666666666666
7092,3,3,0.929,0.248,0.112,0.121,0.448,0.071,0.461,0.627,0.342,0.374,0.423,0.292,34.5375
7093,3,3,0.918,0.199,0.115,0.109,0.493,0.08199999999999999,0.449,0.677,0.312,0.384,0.404,0.29100000000000004,34.82692307692308
7094,3,3,0.951,0.34,0.106,0.14300000000000002,0.363,0.049,0.483,0.5710000000000001,0.405,0.36,0.472,0.294,34.0
